match_id,match_date,year,opponent,tournament,venue_type,goals_for,goals_against,goal_difference,result
36931,2013-06-04,2013,Jamaica,FIFA World Cup qualification,Away,1,0,1,Win
8659,1971-11-28,1971,Cuba,CONCACAF Championship,Neutral,1,0,1,Win
38078,2014-09-09,2014,Bolivia,Friendly,Neutral,1,0,1,Win
29859,2006-03-01,2006,Ghana,Friendly,Neutral,1,0,1,Win
7606,1969-02-04,1969,Colombia,Friendly,Home,1,0,1,Win
23773,1999-08-01,1999,United States,Confederations Cup,Home,1,0,1,Win
42733,2019-07-07,2019,United States,Gold Cup,Away,1,0,1,Win
21109,1996-06-08,1996,Bolivia,USA Cup,Neutral,1,0,1,Win
6997,1967-03-19,1967,Honduras,CONCACAF Championship,Away,1,0,1,Win
6209,1965-02-28,1965,Honduras,FIFA World Cup qualification,Away,1,0,1,Win
15171,1986-02-19,1986,Russia,Friendly,Home,1,0,1,Win
24898,2000-09-27,2000,Bolivia,Friendly,Neutral,1,0,1,Win
31797,2008-04-16,2008,China,Friendly,Neutral,1,0,1,Win
48502,2025-07-02,2025,Honduras,Gold Cup,Neutral,1,0,1,Win
6303,1965-05-16,1965,Costa Rica,FIFA World Cup qualification,Home,1,0,1,Win
47183,2024-05-31,2024,Bolivia,Friendly,Neutral,1,0,1,Win
43449,2020-10-07,2020,Netherlands,Friendly,Away,1,0,1,Win
8987,1972-08-24,1972,Canada,CONCACAF Championship qualification,Away,1,0,1,Win
7998,1970-03-05,1970,Peru,Friendly,Away,1,0,1,Win
15964,1988-01-13,1988,Honduras,Friendly,Away,1,0,1,Win
43872,2021-03-30,2021,Costa Rica,Friendly,Neutral,1,0,1,Win
2407,1938-10-23,1938,Basque Country,Friendly,Home,2,6,-4,Loss
22765,1998-05-20,1998,Norway,Friendly,Away,2,5,-3,Loss
48375,2025-06-07,2025,Switzerland,Friendly,Neutral,2,4,-2,Loss
1877,1934-05-24,1934,United States,FIFA World Cup qualification,Neutral,2,4,-2,Loss
44027,2021-06-06,2021,United States,CONCACAF Nations League,Away,2,3,-1,Loss
49497,2026-07-05,2026,England,FIFA World Cup,Home,2,3,-1,Loss
7581,1969-01-01,1969,Italy,Friendly,Home,2,3,-1,Loss
46861,2023-12-16,2023,Colombia,Friendly,Neutral,2,3,-1,Loss
25175,2001-01-31,2001,Colombia,Friendly,Neutral,2,3,-1,Loss
41102,2017-10-10,2017,Honduras,FIFA World Cup qualification,Away,2,3,-1,Loss
38335,2014-11-18,2014,Belarus,Friendly,Away,2,3,-1,Loss
22641,1998-02-24,1998,Netherlands,Friendly,Neutral,2,3,-1,Loss
22503,1997-12-16,1997,Brazil,Confederations Cup,Neutral,2,3,-1,Loss
22082,1997-06-16,1997,Brazil,Copa América,Neutral,2,3,-1,Loss
45599,2022-09-27,2022,Colombia,Friendly,Neutral,2,3,-1,Loss
31383,2007-10-17,2007,Guatemala,Friendly,Neutral,2,3,-1,Loss
21058,1996-05-29,1996,Japan,Kirin Cup,Away,2,3,-1,Loss
8982,1972-08-09,1972,Peru,Friendly,Away,2,3,-1,Loss
10227,1975-08-01,1975,German DR,Friendly,Neutral,2,3,-1,Loss
47278,2024-06-08,2024,Brazil,Friendly,Neutral,2,3,-1,Loss
3967,1954-06-19,1954,France,FIFA World Cup,Neutral,2,3,-1,Loss
5006,1960-03-10,1960,Argentina,Pan American Championship,Neutral,2,3,-1,Loss
44625,2021-10-27,2021,Ecuador,Friendly,Neutral,2,3,-1,Loss
