match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
41044,2017-10-06,Mexico,Trinidad and Tobago,3.0,1.0,FIFA World Cup qualification,San Luis Potosí,Mexico,False,2017-10-06|Mexico|Trinidad and Tobago|FIFA World Cup qualification|3.0|1.0|San Luis Potosí
41102,2017-10-10,Honduras,Mexico,3.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,2017-10-10|Honduras|Mexico|FIFA World Cup qualification|3.0|2.0|San Pedro Sula
41145,2017-11-10,Belgium,Mexico,3.0,3.0,Friendly,Brussels,Belgium,False,2017-11-10|Belgium|Mexico|Friendly|3.0|3.0|Brussels
41190,2017-11-13,Poland,Mexico,0.0,1.0,Friendly,Gdańsk,Poland,False,2017-11-13|Poland|Mexico|Friendly|0.0|1.0|Gdańsk
41311,2018-01-31,Mexico,Bosnia and Herzegovina,1.0,0.0,Friendly,San Antonio,United States,True,2018-01-31|Mexico|Bosnia and Herzegovina|Friendly|1.0|0.0|San Antonio
41355,2018-03-23,Mexico,Iceland,3.0,0.0,Friendly,Santa Clara,United States,True,2018-03-23|Mexico|Iceland|Friendly|3.0|0.0|Santa Clara
41429,2018-03-27,Mexico,Croatia,0.0,1.0,Friendly,Arlington,United States,True,2018-03-27|Mexico|Croatia|Friendly|0.0|1.0|Arlington
41484,2018-05-28,Mexico,Wales,0.0,0.0,Friendly,Pasadena,United States,True,2018-05-28|Mexico|Wales|Friendly|0.0|0.0|Pasadena
41532,2018-06-02,Mexico,Scotland,1.0,0.0,Friendly,Mexico City,Mexico,False,2018-06-02|Mexico|Scotland|Friendly|1.0|0.0|Mexico City
41619,2018-06-09,Denmark,Mexico,2.0,0.0,Friendly,Brøndby,Denmark,False,2018-06-09|Denmark|Mexico|Friendly|2.0|0.0|Brøndby
41649,2018-06-17,Germany,Mexico,0.0,1.0,FIFA World Cup,Moscow,Russia,True,2018-06-17|Germany|Mexico|FIFA World Cup|0.0|1.0|Moscow
41667,2018-06-23,South Korea,Mexico,1.0,2.0,FIFA World Cup,Rostov-on-Don,Russia,True,2018-06-23|South Korea|Mexico|FIFA World Cup|1.0|2.0|Rostov-on-Don
41681,2018-06-27,Mexico,Sweden,0.0,3.0,FIFA World Cup,Ekaterinburg,Russia,True,2018-06-27|Mexico|Sweden|FIFA World Cup|0.0|3.0|Ekaterinburg
41692,2018-07-02,Brazil,Mexico,2.0,0.0,FIFA World Cup,Samara,Russia,True,2018-07-02|Brazil|Mexico|FIFA World Cup|2.0|0.0|Samara
41766,2018-09-07,Mexico,Uruguay,1.0,4.0,Friendly,Houston,United States,True,2018-09-07|Mexico|Uruguay|Friendly|1.0|4.0|Houston
41867,2018-09-11,United States,Mexico,1.0,0.0,Friendly,Nashville,United States,False,2018-09-11|United States|Mexico|Friendly|1.0|0.0|Nashville
41894,2018-10-11,Mexico,Costa Rica,3.0,2.0,Friendly,San Nicolás de los Garza,Mexico,False,2018-10-11|Mexico|Costa Rica|Friendly|3.0|2.0|San Nicolás de los Garza
42004,2018-10-16,Mexico,Chile,0.0,1.0,Friendly,Querétaro,Mexico,False,2018-10-16|Mexico|Chile|Friendly|0.0|1.0|Querétaro
42076,2018-11-16,Argentina,Mexico,2.0,0.0,Friendly,Córdoba,Argentina,False,2018-11-16|Argentina|Mexico|Friendly|2.0|0.0|Córdoba
42166,2018-11-20,Argentina,Mexico,2.0,0.0,Friendly,Mendoza,Argentina,False,2018-11-20|Argentina|Mexico|Friendly|2.0|0.0|Mendoza
42319,2019-03-22,Mexico,Chile,3.0,1.0,Friendly,San Diego,United States,True,2019-03-22|Mexico|Chile|Friendly|3.0|1.0|San Diego
42417,2019-03-26,Paraguay,Mexico,2.0,4.0,Friendly,Santa Clara,United States,True,2019-03-26|Paraguay|Mexico|Friendly|2.0|4.0|Santa Clara
42479,2019-06-05,Mexico,Venezuela,3.0,1.0,Friendly,Atlanta,United States,True,2019-06-05|Mexico|Venezuela|Friendly|3.0|1.0|Atlanta
